nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
2	51	preterm_both_hit_intact	150	NA	150	1000000	1.5e-4
2	52	preterm_5_hit_intact	14931	NA	14931	999995	0.014931
2	52	preterm_both_hit_intact	103	NA	103	999995	1.03e-4
2	53	preterm_5_hit_intact	17928	NA	17928	999988	0.017928
2	53	preterm_both_hit_intact	92	NA	92	999988	9.2e-5
2	54	preterm_5_hit_intact	20376	NA	20376	999998	0.020376
2	54	preterm_both_hit_intact	72	NA	72	999998	7.2e-5
2	55	preterm_5_hit_intact	22708	NA	22708	999999	0.022708
2	55	preterm_both_hit_intact	50	NA	50	999999	5e-5
2	56	preterm_5_hit_intact	24361	NA	24361	999999	0.024361
2	56	preterm_both_hit_intact	41	NA	41	999999	4.1e-5
2	57	preterm_5_hit_intact	26185	NA	26185	999999	0.026185
2	57	preterm_both_hit_intact	29	NA	29	999999	2.9e-5
2	58	preterm_5_hit_intact	27548	NA	27548	999999	0.027548
2	58	preterm_both_hit_intact	25	NA	25	999999	2.5e-5
2	59	preterm_5_hit_intact	28249	NA	28249	999997	0.028249
2	59	preterm_both_hit_intact	16	NA	16	999997	1.6e-5
2	6	preterm_5_hit_intact	5229	NA	5229	999998	0.005229
2	6	preterm_no_hit_intact	41525	NA	41525	999998	0.041525
2	7	preterm_5_hit_intact	6363	NA	6363	999999	0.006363
2	7	preterm_no_hit_intact	57755	NA	57755	999999	0.057755
2	8	preterm_5_hit_intact	4085	NA	4085	999999	0.004085
2	8	preterm_no_hit_intact	68919	NA	68919	999999	0.068919
2	9	preterm_5_hit_intact	3828	NA	3828	999991	0.003828
2	9	preterm_no_hit_intact	86639	NA	86639	999991	0.08664
